x,y,z,layer,track
-0.6219909,8.108575,65.285,4,361
11.09489,17.63986,113.399,5,361
11.22512,18.12587,113.399,5,357
15.72604,29.84623,113.399,5,112
17.78048,34.33943,113.399,5,434
34.98566,15.91818,113.399,5,12
56.28898,32.14342,113.399,5,85
72.45969,-1.016552,113.399,5,433
72.89582,-3.227116,113.399,5,117
2.261246,0.7955275,113.399,5,137
2.436062,7.880038,113.399,5,65
14.8934,6.213004,113.399,5,13
15.89245,4.455059,113.399,5,104
35.98583,3.555493,113.399,5,11
-55.8114,4.997628,113.399,5,49
-47.9059,4.473773,113.399,5,370
-45.61684,0.6045787,113.399,5,28
-44.49873,17.87517,113.399,5,91
-44.49873,14.74608,113.399,5,452
-38.02719,25.2068,113.399,5,132
-18.28703,10.06548,113.399,5,450
-1.279229,18.1211,113.399,5,114
-6.976223,1.315988,113.399,5,90
-4.287733,-1.779456,113.399,5,2
-2.054105,8.450959,113.399,5,62
-1.734099,5.068277,113.399,5,1
45.91538,20.0232,135.48,6,12
44.63488,5.017017,135.48,6,11
21.19996,36.64879,135.48,6,112
21.0725,22.1528,135.48,6,361
16.46819,23.02971,135.48,6,357
3.457564,10.22141,135.48,6,65
21.94052,6.161422,135.48,6,104
18.75298,8.233945,135.48,6,13
3.706736,1.727371,135.48,6,137
-1.200638,22.3325,135.48,6,114
-2.099088,10.82011,135.48,6,62
-13.7059,12.91852,135.48,6,450
-14.74782,30.21904,135.48,6,371
-41.33374,30.61622,135.48,6,132
-46.0168,17.88237,135.48,6,452
-51.63071,22.18801,135.48,6,91
-51.96569,1.522292,135.48,6,28
-64.41999,6.76006,135.48,6,49
-1.743589,6.798176,135.48,6,1
-3.069577,2.38802,135.48,6,90
-5.031229,-1.335307,135.48,6,2
4.997971,12.9006,161.4135,7,65
23.79823,10.59316,161.4135,7,13
24.0155,28.43185,161.4135,7,357
37.14918,28.02905,161.4135,7,361
55.51518,6.792593,161.4135,7,11
60.96024,25.28847,161.4135,7,12
4.027705,3.648691,161.4135,7,90
5.972578,2.836327,161.4135,7,137
30.49419,8.200742,161.4135,7,104
-73.6054,8.758,161.4135,7,49
-59.54503,27.0447,161.4135,7,91
-58.34327,2.552896,161.4135,7,28
-44.73333,21.79505,161.4135,7,452
-43.51714,36.82904,161.4135,7,132
-4.389817,16.4887,161.4135,7,450
-1.908975,13.59669,161.4135,7,62
-1.478832,8.859591,161.4135,7,1
-0.8764175,27.34722,161.4135,7,114
-5.754168,-0.8448631,161.4135,7,2
76.08833,30.01201,183.818,8,12
65.73069,8.346554,183.818,8,11
56.3875,33.67289,183.818,8,361
39.24364,9.98633,183.818,8,104
31.90435,33.2138,183.818,8,357
28.63453,12.61034,183.818,8,13
8.012869,19.92697,183.818,8,450
6.622511,15.21314,183.818,8,65
12.59249,4.816051,183.818,8,90
8.393291,3.768049,183.818,8,137
-0.3705948,31.66314,183.818,8,114
-1.047442,10.63145,183.818,8,1
-1.505565,16.08904,183.818,8,62
-40.75871,25.2058,183.818,8,452
-63.01485,3.461963,183.818,8,28
-65.80822,31.14416,183.818,8,91
-6.250372,-0.3766084,183.818,8,2
